"Title","Abstract","Keywords","Authors","Journal","DOI","URL"
"A1","Enhanced fracture toughness of hierarchical carbon nanotube reinforced carbon fibre epoxy composites with engineered matrix microstructure","Fibre reinforced hierarchical composites further reinforced with up to 25<U+202F>wt% of carbon nanotubes (CNTs) were manufactured using a wet powder impregnation route. Microstructural heterogeneity in the matrix of these laminates was engineered during wet powder impregnation to produce CNTs rich regions with spatial separation. The Mode I fracture toughness of these heterogeneous hierarchical composites increased by 41% and 26% compared to that of baseline carbon fibre epoxy composites and hierarchical composites with homogeneously distributed CNTs throughout the matrix with similar CNT content, respectively. Increased crack path tortuosity was observed to contribute to this increase in fracture toughness. The interlaminar shear strength was unaffected by the matrix microstructural heterogeneity.","A. Polymer-matrix composites (PMCs),A. Carbon fibre,B. Mechanical properties,Carbon nanotubes (CNTs)","M. ShukurZainol Abidinae,TomiHercegbc,Emile S.Greenhalgha,MiloShafferc,AlexanderBismarckbd","Composites Science and Technology","https://doi.org/10.1016/j.compscitech.2018.11.017","https://www.sciencedirect.com/science/article/pii/S0266353818320621"
"A2","Monitoring the drilling process of GFRP laminates with carbon nanotube buckypaper sensor","The present study presents an experimental investigation into the real-time monitoring of the drilling process of Glass Fiber Reinforced Polymer (GFRP) composite with Carbon Nanotubes (CNTs) buckypaper sensor. The spray-vacuum filtration method was employed to synthesize CNTs buckypaper sensor and then embedded into the GFRP to serve two purposes namely interlaminar enhancement and sensor monitoring the drilling process of the GFRP. Both modes I and II interlaminar fracture toughness tests were conducted to ascertain the enhancement ability of the buckypaper. Considerable improvements in both modes of fracture toughness were recorded in the specimens with CNTs buckypaper interlayer. For the CNTs buckypaper acting as a sensor, drilling experiments were carried out on the GFRP where real-time information of the drilling process particularly the drilling tool position could be predicted. This can be crucial in cases where drilling parameters like the feed rate have to be changed at a certain drilling depth in order to reduce or eliminate the exit delamination. The Scanning Electron Microscope (SEM) was finally employed to study the enhancement ability of the CNTs buckypaper and the microstructure of the drilled holes. The current work has substantiated the possibility of using CNT buckypaper both as an interlaminar enhancement and as a sensor to monitor the drilling process.","GFRP,Carbon nanotubes,Drill monitoring,Mechanical properties,Sensor","GongDong Wangac,NanLibc,StephenKirwa Mellya,TianPenga,Yingchi Lia,QiDi Zhaoa,ShuDe Jia","Composite Structures","https://doi.org/10.1016/j.compstruct.2018.10.016","https://www.sciencedirect.com/science/article/pii/S0263822318320075"
"A3","Interlaminar properties of GFRP laminates toughened by CNTs buckypaper interlayer","The interlaminar property is essential to the application of fiber reinforced composites for the overall performance. For the purpose of enhancing the interlaminar properties, the unidirectional Glass Fibre Reinforced Plastics (GFRP) laminates were fabricated by adding carbon nanotubes (CNTs) buckypaper to the mid-plane layers under different curing pressures (1<U+202F>MPa, 2<U+202F>MPa, 3<U+202F>MPa). In order to study the enhancement mechanism of the CNTs buckypaper, a series of experiments were designed and conducted based on double cantilever beam (DCB), end notch flexure (ENF) and interlaminar shear strength (ILSS) tests followed by scanning electron microscope (SEM) examination to study the surfaces of the specimens. It was observed that the modes I and II interlaminar fracture toughness of GFRP embedded with CNTs buckypaper were relatively higher than those without CNTs buckypaper. Considerable improvements in interlaminar shear strength of the laminates were obtained with the integration of the CNTs buckypaper between the interlayers. The micro-structure of the enhanced mixed interface of fiber-resin-CNTs responsible for interlaminar strengthening was further studied with the help of SEM. It was found that the higher curing pressure could increase the inter-diffusion of the resin and CNTs offering a stronger interfacial adhesion. The interlaminar characteristics of the specimens cured at 2<U+202F>MPa pressure were found to be relatively superior with optimal interlaminar fracture toughness and interlaminar shear strength.","Glass fibre reinforced plastics,Carbon nanotubes,Interlaminar fracture toughness,Interlaminar shear strength","NanLiab,Gong dongWangbc,Stephen KirwaMellybc,TianPengb,Ying ChiLib,QiDi Zhaob,Shude Jib","Composite Structures","https://doi.org/10.1016/j.compstruct.2018.10.002","https://www.sciencedirect.com/science/article/pii/S026382231832333X"
"A4","Abstracts from The International Symposium on Endovascular Therapy (ISET) 2019","","","","Journal of Vascular and Interventional Radiology","https://doi.org/10.1016/j.jvir.2018.11.033","https://www.sciencedirect.com/science/article/pii/S1051044318317378"
"A5","The role of T-stress and stress triaxiality combined with the geometry on tensile fracture energy of brittle adhesives","In this study, a new semi-empirical evaluation method is proposed to take into account the effects of substrate stiffness and bondline thickness on the tensile fracture behavior of brittle adhesives. To this end, combined experimental-numerical analyses are conducted on double cantilever beams with various geometries. Two different data reduction approaches including the simple beam theory and the J-integral technique are employed to obtain the fracture energy of the tested joints. The experimental fracture energy and the corresponding numerical results are used to analyze the considered configurations based on the proposed relation. The new parameter is a function of the tensile fracture energy (GIC), the first non-singular stress term of William's series expansion (T-stress), the amount of stress triaxiality and the bondline thickness (t). Based on the proposed method, the role of each factor in the mode I fracture energy of brittle systems is specified. It is found that the T-stress has a critical impact on the GIC obtained by adhesively bonded double cantilever beams (DCBs) where the adhesive bondline is different. It is also shown that the effect of stress triaxiality is less significant but it should be taken into account. The results also show that the new relation can predict the effect of the substrate stiffness on the GIC of the considered adhesives very well. The optimum bondline thickness of DCBs corresponding to the maximum GIC is also predicted based on the proposed relation. Further validations are also performed by applying the method to experimental data previously published in the literature.","Brittle adhesives,Mode I fracture energy,T-stress,Stress triaxiality,DCB,Bondline thickness,Substrate stiffness","A.Akhavan-Safara,M.R.Ayatollahia,M.Moazzamia,L.F.M.da Silvab","International Journal of Adhesion and Adhesives","https://doi.org/10.1016/j.ijadhadh.2018.09.008","https://www.sciencedirect.com/science/article/pii/S0143749618302124"
"A6","Poster Abstracts","","","","European Journal of Cancer","https://doi.org/10.1016/S0959-8049(18)31491-6","https://www.sciencedirect.com/science/article/pii/S0959804918314916"
"A7","A modified DCB-UBM test method for interfacial fracture toughness characterization of sandwich composites","A novel double cantilever beam test method for interface fracture toughness characterization of debonded sandwich composites is introduced. The method is called DCB-UBM (Double Cantilever Beam loaded with Uneven Bending Moments), where pure moments are applied to the beams at the crack end using torsional actuators, to generate crack propagation along the face sheet/core interface. A data reduction method is proposed to determine the fracture toughness. Fracture testing is performed on a typical marine grade sandwich configuration consisting of PVC H45 foam core and glass fiber face sheets to demonstrate the applicability of the test method. The obtained fracture toughness agrees with interface toughness values in the literature measured using other test methods with the same material system. The effective kinematics of the test rig is measured using Digital Image Correlation (DIC) by studying the rotations and moments of a specially designed calibration specimen and comparing the results against finite element results. The DCB-UBM specimen and test method is a promising candidate for obtaining face sheet/core interface fracture toughnesses in sandwich composites.","DCB-UBM,Sandwich composite,Mode-mixity,CSDE,Face sheet/core interface","ChristianBerggreena,VishnuSaseendrana,Leif A.Carlssonb","Engineering Fracture Mechanics","https://doi.org/10.1016/j.engfracmech.2018.06.036","https://www.sciencedirect.com/science/article/pii/S0013794417313395"
"A8","The efficacy of finite element analysis (FEA) as a design tool for food packaging: A review","","Finite element analysis (FEA),Packaging,Corrugated paperboard,Modelling","TobiFadijiab,Corné J.Coetzeea,Tarl M.Berryb,AlemayehuAmbawb,Umezuruike L.Oparabc","Biosystems Engineering","https://doi.org/10.1016/j.biosystemseng.2018.06.015","https://www.sciencedirect.com/science/article/pii/S1537511018300035"
"A9","2.15: Recent Development in Focused Ion Beam Nanofabrication","The focused ion beam (FIB) system is a multifunctional platform for nanofabrication and characterization, areas that have been making headlines in technical news and scientific reports. Recent developments in FIB technology and associated analytical techniques have brought significant impact on both instrumental nanotechnology and various applications in multi-disciplinary scientific research. This literature survey reviews main applications of FIB as a cutting-edge technology in physical sciences and engineering with focuses on ion beam etching, FIB assisted chemical vapor deposition and maskless ion implantation.","Characterization,Deposition,Electron microscopy,Focused ion beam,Implantation,Microcompression,Micromanipulation,Nanofabrication,Nanopatterning,Nanostructure","CharlieKong,SoshanCheong,Richard D.Tilley","Comprehensive Nanoscience and Nanotechnology (Second Edition)","https://doi.org/10.1016/B978-0-12-803581-8.10432-1","https://www.sciencedirect.com/science/article/pii/B9780128035818104321"
"A10","Ply thickness dependence of the intralaminar fracture in thin-ply carbon-epoxy laminates","The effect of ply thickness t in intralaminar fracture of unidirectional thin-ply carbon-epoxy laminates is characterized by testing double cantilever beam (DCB) and compact tension (CT) specimens with different t. While the average intralaminar energy release rate (ERR) at initiation is found equal to the corresponding interlaminar values, the steady-state intralaminar ERRs, only reached in the DCB configuration, are approximately three times higher than the corresponding interlaminar values. Due to changes in the extent of bridging, intralaminar steady-state ERRs are ~30% higher in thick-ply (t<U+202F>=<U+202F>0.150<U+202F>mm) than in thin-ply laminates (t<U+202F>=<U+202F>0.030<U+202F>mm). Thin-ply composite laminates exhibit a faster ERR growth with crack length, and for DCB, reach steady-state at a much shorter crack extension than thick-ply composites. Traction profiles, due to bridging, are identified using R-curves and implemented in cohesive element simulations to predict intralaminar fracture of DCB and CT specimens. The experimental and simulated load–displacement responses are in good agreement.","A. Carbon fibers,B. Fracture toughness,C. Finite element analysis,D. Mechanical testing","G.Frossard,J.Cugnoni,T.Gmür,J.Botsis","Composites Part A: Applied Science and Manufacturing","https://doi.org/10.1016/j.compositesa.2018.03.001","https://www.sciencedirect.com/science/article/pii/S1359835X18300952"
